Table,1,2,3,4
countrylanguage,ABW,Dutch,T,5.3
countrylanguage,ABW,English,F,9.5
countrylanguage,ABW,Papiamento,F,76.7
countrylanguage,ABW,Spanish,F,7.4
countrylanguage,AFG,Balochi,F,0.9
countrylanguage,AFG,Dari,T,32.1
countrylanguage,AFG,Pashto,T,52.4
countrylanguage,AFG,Turkmenian,F,1.9
countrylanguage,AFG,Uzbek,F,8.8
countrylanguage,AGO,Ambo,F,2.4
countrylanguage,AGO,Chokwe,F,4.2
countrylanguage,AGO,Kongo,F,13.2
countrylanguage,AGO,Luchazi,F,2.4
countrylanguage,AGO,Luimbe-nganguela,F,5.4
countrylanguage,AGO,Luvale,F,3.6
countrylanguage,AGO,Mbundu,F,21.6
countrylanguage,AGO,Nyaneka-nkhumbi,F,5.4
countrylanguage,AGO,Ovimbundu,F,37.2
countrylanguage,AIA,English,T,0.0
countrylanguage,ALB,Albaniana,T,97.9
countrylanguage,ALB,Greek,F,1.8
countrylanguage,ALB,Macedonian,F,0.1
countrylanguage,AND,Catalan,T,32.3
countrylanguage,AND,French,F,6.2
countrylanguage,AND,Portuguese,F,10.8
countrylanguage,AND,Spanish,F,44.6
countrylanguage,ANT,Dutch,T,0.0
countrylanguage,ANT,English,F,7.8
countrylanguage,ANT,Papiamento,T,86.2
countrylanguage,ARE,Arabic,T,42.0
countrylanguage,ARE,Hindi,F,0.0
countrylanguage,ARG,Indian Languages,F,0.3
countrylanguage,ARG,Italian,F,1.7
countrylanguage,ARG,Spanish,T,96.8
countrylanguage,ARM,Armenian,T,93.4
countrylanguage,ARM,Azerbaijani,F,2.6
countrylanguage,ASM,English,T,3.1
countrylanguage,ASM,Samoan,T,90.6
countrylanguage,ASM,Tongan,F,3.1
countrylanguage,ATG,Creole English,F,95.7
countrylanguage,ATG,English,T,0.0
countrylanguage,AUS,Arabic,F,1.0
countrylanguage,AUS,Canton Chinese,F,1.1
countrylanguage,AUS,English,T,81.2
countrylanguage,AUS,German,F,0.6
countrylanguage,AUS,Greek,F,1.6
countrylanguage,AUS,Italian,F,2.2
countrylanguage,AUS,Serbo-Croatian,F,0.6
countrylanguage,AUS,Vietnamese,F,0.8
countrylanguage,AUT,Czech,F,0.2
countrylanguage,AUT,German,T,92.0
countrylanguage,AUT,Hungarian,F,0.4
countrylanguage,AUT,Polish,F,0.2
countrylanguage,AUT,Romanian,F,0.2
countrylanguage,AUT,Serbo-Croatian,F,2.2
countrylanguage,AUT,Slovene,F,0.4
countrylanguage,AUT,Turkish,F,1.5
countrylanguage,AZE,Armenian,F,2.0
countrylanguage,AZE,Azerbaijani,T,89.0
countrylanguage,AZE,Lezgian,F,2.3
countrylanguage,AZE,Russian,F,3.0
countrylanguage,BDI,French,T,0.0
countrylanguage,BDI,Kirundi,T,98.1
countrylanguage,BDI,Swahili,F,0.0
countrylanguage,BEL,Arabic,F,1.6
countrylanguage,BEL,Dutch,T,59.2
countrylanguage,BEL,French,T,32.6
countrylanguage,BEL,German,T,1.0
countrylanguage,BEL,Italian,F,2.4
countrylanguage,BEL,Turkish,F,0.9
countrylanguage,BEN,Adja,F,11.1
countrylanguage,BEN,Aizo,F,8.7
countrylanguage,BEN,Bariba,F,8.7
countrylanguage,BEN,Fon,F,39.8
countrylanguage,BEN,Ful,F,5.6
countrylanguage,BEN,Joruba,F,12.2
countrylanguage,BEN,Somba,F,6.7
countrylanguage,BFA,Busansi,F,3.5
countrylanguage,BFA,Dagara,F,3.1
countrylanguage,BFA,Dyula,F,2.6
countrylanguage,BFA,Ful,F,9.7
countrylanguage,BFA,Gurma,F,5.7
countrylanguage,BFA,Mossi,F,50.2
countrylanguage,BGD,Bengali,T,97.7
countrylanguage,BGD,Chakma,F,0.4
countrylanguage,BGD,Garo,F,0.1
countrylanguage,BGD,Khasi,F,0.1
countrylanguage,BGD,Marma,F,0.2
countrylanguage,BGD,Santhali,F,0.1
countrylanguage,BGD,Tripuri,F,0.1
countrylanguage,BGR,Bulgariana,T,83.2
countrylanguage,BGR,Macedonian,F,2.6
countrylanguage,BGR,Romani,F,3.7
countrylanguage,BGR,Turkish,F,9.4
countrylanguage,BHR,Arabic,T,67.7
countrylanguage,BHR,English,F,0.0
countrylanguage,BHS,Creole English,F,89.7
countrylanguage,BHS,Creole French,F,10.3
countrylanguage,BIH,Serbo-Croatian,T,99.2
countrylanguage,BLR,Belorussian,T,65.6
countrylanguage,BLR,Polish,F,0.6
countrylanguage,BLR,Russian,T,32.0
countrylanguage,BLR,Ukrainian,F,1.3
countrylanguage,BLZ,English,T,50.8
countrylanguage,BLZ,Garifuna,F,6.8
countrylanguage,BLZ,Maya Languages,F,9.6
countrylanguage,BLZ,Spanish,F,31.6
countrylanguage,BMU,English,T,100.0
countrylanguage,BOL,Aimará,T,3.2
countrylanguage,BOL,Guaraní,F,0.1
countrylanguage,BOL,Ketšua,T,8.1
countrylanguage,BOL,Spanish,T,87.7
countrylanguage,BRA,German,F,0.5
countrylanguage,BRA,Indian Languages,F,0.2
countrylanguage,BRA,Italian,F,0.4
countrylanguage,BRA,Japanese,F,0.4
countrylanguage,BRA,Portuguese,T,97.5
countrylanguage,BRB,Bajan,F,95.1
countrylanguage,BRB,English,T,0.0
countrylanguage,BRN,Chinese,F,9.3
countrylanguage,BRN,English,F,3.1
countrylanguage,BRN,Malay,T,45.5
countrylanguage,BRN,Malay-English,F,28.8
countrylanguage,BTN,Asami,F,15.2
countrylanguage,BTN,Dzongkha,T,50.0
countrylanguage,BTN,Nepali,F,34.8
countrylanguage,BWA,Khoekhoe,F,2.5
countrylanguage,BWA,Ndebele,F,1.3
countrylanguage,BWA,San,F,3.5
countrylanguage,BWA,Shona,F,12.3
countrylanguage,BWA,Tswana,F,75.5
countrylanguage,CAF,Banda,F,23.5
countrylanguage,CAF,Gbaya,F,23.8
countrylanguage,CAF,Mandjia,F,14.8
countrylanguage,CAF,Mbum,F,6.4
countrylanguage,CAF,Ngbaka,F,7.5
countrylanguage,CAF,Sara,F,6.4
countrylanguage,CAN,Chinese,F,2.5
countrylanguage,CAN,Dutch,F,0.5
countrylanguage,CAN,English,T,60.4
countrylanguage,CAN,Eskimo Languages,F,0.1
countrylanguage,CAN,French,T,23.4
countrylanguage,CAN,German,F,1.6
countrylanguage,CAN,Italian,F,1.7
countrylanguage,CAN,Polish,F,0.7
countrylanguage,CAN,Portuguese,F,0.7
countrylanguage,CAN,Punjabi,F,0.7
countrylanguage,CAN,Spanish,F,0.7
countrylanguage,CAN,Ukrainian,F,0.6
countrylanguage,CCK,English,T,0.0
countrylanguage,CCK,Malay,F,0.0
countrylanguage,CHE,French,T,19.2
countrylanguage,CHE,German,T,63.6
countrylanguage,CHE,Italian,T,7.7
countrylanguage,CHE,Romansh,T,0.6
countrylanguage,CHL,Aimará,F,0.5
countrylanguage,CHL,Araucan,F,9.6
countrylanguage,CHL,Rapa nui,F,0.2
countrylanguage,CHL,Spanish,T,89.7
countrylanguage,CHN,Chinese,T,92.0
countrylanguage,CHN,Dong,F,0.2
countrylanguage,CHN,Hui,F,0.8
countrylanguage,CHN,Mantšu,F,0.9
countrylanguage,CHN,Miao,F,0.7
countrylanguage,CHN,Mongolian,F,0.4
countrylanguage,CHN,Puyi,F,0.2
countrylanguage,CHN,Tibetan,F,0.4
countrylanguage,CHN,Tujia,F,0.5
countrylanguage,CHN,Uighur,F,0.6
countrylanguage,CHN,Yi,F,0.6
countrylanguage,CHN,Zhuang,F,1.4
countrylanguage,CIV,[South]Mande,F,7.7
countrylanguage,CIV,Akan,F,30.0
countrylanguage,CIV,Gur,F,11.7
countrylanguage,CIV,Kru,F,10.5
countrylanguage,CIV,Malinke,F,11.4
countrylanguage,CMR,Bamileke-bamum,F,18.6
countrylanguage,CMR,Duala,F,10.9
countrylanguage,CMR,Fang,F,19.7
countrylanguage,CMR,Ful,F,9.6
countrylanguage,CMR,Maka,F,4.9
countrylanguage,CMR,Mandara,F,5.7
countrylanguage,CMR,Masana,F,3.9
countrylanguage,CMR,Tikar,F,7.4
countrylanguage,COD,Boa,F,2.3
countrylanguage,COD,Chokwe,F,1.8
countrylanguage,COD,Kongo,F,16.0
countrylanguage,COD,Luba,F,18.0
countrylanguage,COD,Mongo,F,13.5
countrylanguage,COD,Ngala and Bangi,F,5.8
countrylanguage,COD,Rundi,F,3.8
countrylanguage,COD,Rwanda,F,10.3
countrylanguage,COD,Teke,F,2.7
countrylanguage,COD,Zande,F,6.1
countrylanguage,COG,Kongo,F,51.5
countrylanguage,COG,Mbete,F,4.8
countrylanguage,COG,Mboshi,F,11.4
countrylanguage,COG,Punu,F,2.9
countrylanguage,COG,Sango,F,2.6
countrylanguage,COG,Teke,F,17.3
countrylanguage,COK,English,F,0.0
countrylanguage,COK,Maori,T,0.0
countrylanguage,COL,Arawakan,F,0.1
countrylanguage,COL,Caribbean,F,0.1
countrylanguage,COL,Chibcha,F,0.4
countrylanguage,COL,Creole English,F,0.1
countrylanguage,COL,Spanish,T,99.0
countrylanguage,COM,Comorian,T,75.0
countrylanguage,COM,Comorian-Arabic,F,1.6
countrylanguage,COM,Comorian-French,F,12.9
countrylanguage,COM,Comorian-madagassi,F,5.5
countrylanguage,COM,Comorian-Swahili,F,0.5
countrylanguage,CPV,Crioulo,F,100.0
countrylanguage,CPV,Portuguese,T,0.0
countrylanguage,CRI,Chibcha,F,0.3
countrylanguage,CRI,Chinese,F,0.2
countrylanguage,CRI,Creole English,F,2.0
countrylanguage,CRI,Spanish,T,97.5
countrylanguage,CUB,Spanish,T,100.0
countrylanguage,CXR,Chinese,F,0.0
countrylanguage,CXR,English,T,0.0
countrylanguage,CYM,English,T,0.0
countrylanguage,CYP,Greek,T,74.1
countrylanguage,CYP,Turkish,T,22.4
countrylanguage,CZE,Czech,T,81.2
countrylanguage,CZE,German,F,0.5
countrylanguage,CZE,Hungarian,F,0.2
countrylanguage,CZE,Moravian,F,12.9
countrylanguage,CZE,Polish,F,0.6
countrylanguage,CZE,Romani,F,0.3
countrylanguage,CZE,Silesiana,F,0.4
countrylanguage,CZE,Slovak,F,3.1
countrylanguage,DEU,German,T,91.3
countrylanguage,DEU,Greek,F,0.4
countrylanguage,DEU,Italian,F,0.7
countrylanguage,DEU,Polish,F,0.3
countrylanguage,DEU,Southern Slavic Languages,F,1.4
countrylanguage,DEU,Turkish,F,2.6
countrylanguage,DJI,Afar,F,34.8
countrylanguage,DJI,Arabic,T,10.6
countrylanguage,DJI,Somali,F,43.9
countrylanguage,DMA,Creole English,F,100.0
countrylanguage,DMA,Creole French,F,0.0
countrylanguage,DNK,Arabic,F,0.7
countrylanguage,DNK,Danish,T,93.5
countrylanguage,DNK,English,F,0.3
countrylanguage,DNK,German,F,0.5
countrylanguage,DNK,Norwegian,F,0.3
countrylanguage,DNK,Swedish,F,0.3
countrylanguage,DNK,Turkish,F,0.8
countrylanguage,DOM,Creole French,F,2.0
countrylanguage,DOM,Spanish,T,98.0
countrylanguage,DZA,Arabic,T,86.0
countrylanguage,DZA,Berberi,F,14.0
countrylanguage,ECU,Ketšua,F,7.0
countrylanguage,ECU,Spanish,T,93.0
countrylanguage,EGY,Arabic,T,98.8
countrylanguage,EGY,Sinaberberi,F,0.0
countrylanguage,ERI,Afar,F,4.3
countrylanguage,ERI,Bilin,F,3.0
countrylanguage,ERI,Hadareb,F,3.8
countrylanguage,ERI,Saho,F,3.0
countrylanguage,ERI,Tigre,F,31.7
countrylanguage,ERI,Tigrinja,T,49.1
countrylanguage,ESH,Arabic,T,100.0
countrylanguage,ESP,Basque,F,1.6
countrylanguage,ESP,Catalan,F,16.9
countrylanguage,ESP,Galecian,F,6.4
countrylanguage,ESP,Spanish,T,74.4
countrylanguage,EST,Belorussian,F,1.4
countrylanguage,EST,Estonian,T,65.3
countrylanguage,EST,Finnish,F,0.7
countrylanguage,EST,Russian,F,27.8
countrylanguage,EST,Ukrainian,F,2.8
countrylanguage,ETH,Amhara,F,30.0
countrylanguage,ETH,Gurage,F,4.7
countrylanguage,ETH,Oromo,F,31.0
countrylanguage,ETH,Sidamo,F,3.2
countrylanguage,ETH,Somali,F,4.1
countrylanguage,ETH,Tigrinja,F,7.2
countrylanguage,ETH,Walaita,F,2.8
countrylanguage,FIN,Estonian,F,0.2
countrylanguage,FIN,Finnish,T,92.7
countrylanguage,FIN,Russian,F,0.4
countrylanguage,FIN,Saame,F,0.0
countrylanguage,FIN,Swedish,T,5.7
countrylanguage,FJI,Fijian,T,50.8
countrylanguage,FJI,Hindi,F,43.7
countrylanguage,FLK,English,T,0.0
countrylanguage,FRA,Arabic,F,2.5
countrylanguage,FRA,French,T,93.6
countrylanguage,FRA,Italian,F,0.4
countrylanguage,FRA,Portuguese,F,1.2
countrylanguage,FRA,Spanish,F,0.4
countrylanguage,FRA,Turkish,F,0.4
countrylanguage,FRO,Danish,T,0.0
countrylanguage,FRO,Faroese,T,100.0
countrylanguage,FSM,Kosrean,F,7.3
countrylanguage,FSM,Mortlock,F,7.6
countrylanguage,FSM,Pohnpei,F,23.8
countrylanguage,FSM,Trukese,F,41.6
countrylanguage,FSM,Wolea,F,3.7
countrylanguage,FSM,Yap,F,5.8
countrylanguage,GAB,Fang,F,35.8
countrylanguage,GAB,Mbete,F,13.8
countrylanguage,GAB,Mpongwe,F,14.6
countrylanguage,GAB,Punu-sira-nzebi,F,17.1
countrylanguage,GBR,English,T,97.3
countrylanguage,GBR,Gaeli,F,0.1
countrylanguage,GBR,Kymri,F,0.9
countrylanguage,GEO,Abhyasi,F,1.7
countrylanguage,GEO,Armenian,F,6.8
countrylanguage,GEO,Azerbaijani,F,5.5
countrylanguage,GEO,Georgiana,T,71.7
countrylanguage,GEO,Osseetti,F,2.4
countrylanguage,GEO,Russian,F,8.8
countrylanguage,GHA,Akan,F,52.4
countrylanguage,GHA,Ewe,F,11.9
countrylanguage,GHA,Ga-adangme,F,7.8
countrylanguage,GHA,Gurma,F,3.3
countrylanguage,GHA,Joruba,F,1.3
countrylanguage,GHA,Mossi,F,15.8
countrylanguage,GIB,Arabic,F,7.4
countrylanguage,GIB,English,T,88.9
countrylanguage,GIN,Ful,F,38.6
countrylanguage,GIN,Kissi,F,6.0
countrylanguage,GIN,Kpelle,F,4.6
countrylanguage,GIN,Loma,F,2.3
countrylanguage,GIN,Malinke,F,23.2
countrylanguage,GIN,Susu,F,11.0
countrylanguage,GIN,Yalunka,F,2.9
countrylanguage,GLP,Creole French,F,95.0
countrylanguage,GLP,French,T,0.0
countrylanguage,GMB,Diola,F,9.2
countrylanguage,GMB,Ful,F,16.2
countrylanguage,GMB,Malinke,F,34.1
countrylanguage,GMB,Soninke,F,7.6
countrylanguage,GMB,Wolof,F,12.6
countrylanguage,GNB,Balante,F,14.6
countrylanguage,GNB,Crioulo,F,36.4
countrylanguage,GNB,Ful,F,16.6
countrylanguage,GNB,Malinke,F,6.9
countrylanguage,GNB,Mandyako,F,4.9
countrylanguage,GNB,Portuguese,T,8.1
countrylanguage,GNQ,Bubi,F,8.7
countrylanguage,GNQ,Fang,F,84.8
countrylanguage,GRC,Greek,T,98.5
countrylanguage,GRC,Turkish,F,0.9
countrylanguage,GRD,Creole English,F,100.0
countrylanguage,GRL,Danish,T,12.5
countrylanguage,GRL,Greenlandic,T,87.5
countrylanguage,GTM,Cakchiquel,F,8.9
countrylanguage,GTM,Kekchí,F,4.9
countrylanguage,GTM,Mam,F,2.7
countrylanguage,GTM,Quiché,F,10.1
countrylanguage,GTM,Spanish,T,64.7
countrylanguage,GUF,Creole French,F,94.3
countrylanguage,GUF,Indian Languages,F,1.9
countrylanguage,GUM,Chamorro,T,29.6
countrylanguage,GUM,English,T,37.5
countrylanguage,GUM,Japanese,F,2.0
countrylanguage,GUM,Korean,F,3.3
countrylanguage,GUM,Philippene Languages,F,19.7
countrylanguage,GUY,Arawakan,F,1.4
countrylanguage,GUY,Caribbean,F,2.2
countrylanguage,GUY,Creole English,F,96.4
countrylanguage,HKG,Canton Chinese,F,88.7
countrylanguage,HKG,Chiu chau,F,1.4
countrylanguage,HKG,English,T,2.2
countrylanguage,HKG,Fukien,F,1.9
countrylanguage,HKG,Hakka,F,1.6
countrylanguage,HND,Creole English,F,0.2
countrylanguage,HND,Garifuna,F,1.3
countrylanguage,HND,Miskito,F,0.2
countrylanguage,HND,Spanish,T,97.2
countrylanguage,HRV,Serbo-Croatian,T,95.9
countrylanguage,HRV,Slovene,F,0.0
countrylanguage,HTI,French,T,0.0
countrylanguage,HTI,Haiti Creole,F,100.0
countrylanguage,HUN,German,F,0.4
countrylanguage,HUN,Hungarian,T,98.5
countrylanguage,HUN,Romani,F,0.5
countrylanguage,HUN,Romanian,F,0.1
countrylanguage,HUN,Serbo-Croatian,F,0.2
countrylanguage,HUN,Slovak,F,0.1
countrylanguage,IDN,Bali,F,1.7
countrylanguage,IDN,Banja,F,1.8
countrylanguage,IDN,Batakki,F,2.2
countrylanguage,IDN,Bugi,F,2.2
countrylanguage,IDN,Javanese,F,39.4
countrylanguage,IDN,Madura,F,4.3
countrylanguage,IDN,Malay,T,12.1
countrylanguage,IDN,Minangkabau,F,2.4
countrylanguage,IDN,Sunda,F,15.8
countrylanguage,IND,Asami,F,1.5
countrylanguage,IND,Bengali,F,8.2
countrylanguage,IND,Gujarati,F,4.8
countrylanguage,IND,Hindi,T,39.9
countrylanguage,IND,Kannada,F,3.9
countrylanguage,IND,Malajalam,F,3.6
countrylanguage,IND,Marathi,F,7.4
countrylanguage,IND,Orija,F,3.3
countrylanguage,IND,Punjabi,F,2.8
countrylanguage,IND,Tamil,F,6.3
countrylanguage,IND,Telugu,F,7.8
countrylanguage,IND,Urdu,F,5.1
countrylanguage,IRL,English,T,98.4
countrylanguage,IRL,Irish,T,1.6
countrylanguage,IRN,Arabic,F,2.2
countrylanguage,IRN,Azerbaijani,F,16.8
countrylanguage,IRN,Bakhtyari,F,1.7
countrylanguage,IRN,Balochi,F,2.3
countrylanguage,IRN,Gilaki,F,5.3
countrylanguage,IRN,Kurdish,F,9.1
countrylanguage,IRN,Luri,F,4.3
countrylanguage,IRN,Mazandarani,F,3.6
countrylanguage,IRN,Persian,T,45.7
countrylanguage,IRN,Turkmenian,F,1.6
countrylanguage,IRQ,Arabic,T,77.2
countrylanguage,IRQ,Assyrian,F,0.8
countrylanguage,IRQ,Azerbaijani,F,1.7
countrylanguage,IRQ,Kurdish,F,19.0
countrylanguage,IRQ,Persian,F,0.8
countrylanguage,ISL,English,F,0.0
countrylanguage,ISL,Icelandic,T,95.7
countrylanguage,ISR,Arabic,T,18.0
countrylanguage,ISR,Hebrew,T,63.1
countrylanguage,ISR,Russian,F,8.9
countrylanguage,ITA,Albaniana,F,0.2
countrylanguage,ITA,French,F,0.5
countrylanguage,ITA,Friuli,F,1.2
countrylanguage,ITA,German,F,0.5
countrylanguage,ITA,Italian,T,94.1
countrylanguage,ITA,Romani,F,0.2
countrylanguage,ITA,Sardinian,F,2.7
countrylanguage,ITA,Slovene,F,0.2
countrylanguage,JAM,Creole English,F,94.2
countrylanguage,JAM,Hindi,F,1.9
countrylanguage,JOR,Arabic,T,97.9
countrylanguage,JOR,Armenian,F,1.0
countrylanguage,JOR,Circassian,F,1.0
countrylanguage,JPN,Ainu,F,0.0
countrylanguage,JPN,Chinese,F,0.2
countrylanguage,JPN,English,F,0.1
countrylanguage,JPN,Japanese,T,99.1
countrylanguage,JPN,Korean,F,0.5
countrylanguage,JPN,Philippene Languages,F,0.1
countrylanguage,KAZ,German,F,3.1
countrylanguage,KAZ,Kazakh,T,46.0
countrylanguage,KAZ,Russian,F,34.7
countrylanguage,KAZ,Tatar,F,2.0
countrylanguage,KAZ,Ukrainian,F,5.0
countrylanguage,KAZ,Uzbek,F,2.3
countrylanguage,KEN,Gusii,F,6.1
countrylanguage,KEN,Kalenjin,F,10.8
countrylanguage,KEN,Kamba,F,11.2
countrylanguage,KEN,Kikuyu,F,20.9
countrylanguage,KEN,Luhya,F,13.8
countrylanguage,KEN,Luo,F,12.8
countrylanguage,KEN,Masai,F,1.6
countrylanguage,KEN,Meru,F,5.5
countrylanguage,KEN,Nyika,F,4.8
countrylanguage,KEN,Turkana,F,1.4
countrylanguage,KGZ,Kazakh,F,0.8
countrylanguage,KGZ,Kirgiz,T,59.7
countrylanguage,KGZ,Russian,T,16.2
countrylanguage,KGZ,Tadzhik,F,0.8
countrylanguage,KGZ,Tatar,F,1.3
countrylanguage,KGZ,Ukrainian,F,1.7
countrylanguage,KGZ,Uzbek,F,14.1
countrylanguage,KHM,Chinese,F,3.1
countrylanguage,KHM,Khmer,T,88.6
countrylanguage,KHM,Tšam,F,2.4
countrylanguage,KHM,Vietnamese,F,5.5
countrylanguage,KIR,Kiribati,T,98.9
countrylanguage,KIR,Tuvalu,F,0.5
countrylanguage,KNA,Creole English,F,100.0
countrylanguage,KNA,English,T,0.0
countrylanguage,KOR,Chinese,F,0.1
countrylanguage,KOR,Korean,T,99.9
countrylanguage,KWT,Arabic,T,78.1
countrylanguage,KWT,English,F,0.0
countrylanguage,LAO,Lao,T,67.2
countrylanguage,LAO,Lao-Soung,F,5.2
countrylanguage,LAO,Mon-khmer,F,16.5
countrylanguage,LAO,Thai,F,7.8
countrylanguage,LBN,Arabic,T,93.0
countrylanguage,LBN,Armenian,F,5.9
countrylanguage,LBN,French,F,0.0
countrylanguage,LBR,Bassa,F,13.7
countrylanguage,LBR,Gio,F,7.9
