Table,1,2,3,4
countrylanguage,LBR,Grebo,F,8.9
countrylanguage,LBR,Kpelle,F,19.5
countrylanguage,LBR,Kru,F,7.2
countrylanguage,LBR,Loma,F,5.8
countrylanguage,LBR,Malinke,F,5.1
countrylanguage,LBR,Mano,F,7.2
countrylanguage,LBY,Arabic,T,96.0
countrylanguage,LBY,Berberi,F,1.0
countrylanguage,LCA,Creole French,F,80.0
countrylanguage,LCA,English,T,20.0
countrylanguage,LIE,German,T,89.0
countrylanguage,LIE,Italian,F,2.5
countrylanguage,LIE,Turkish,F,2.5
countrylanguage,LKA,Mixed Languages,F,19.6
countrylanguage,LKA,Singali,T,60.3
countrylanguage,LKA,Tamil,T,19.6
countrylanguage,LSO,English,T,0.0
countrylanguage,LSO,Sotho,T,85.0
countrylanguage,LSO,Zulu,F,15.0
countrylanguage,LTU,Belorussian,F,1.4
countrylanguage,LTU,Lithuanian,T,81.6
countrylanguage,LTU,Polish,F,7.0
countrylanguage,LTU,Russian,F,8.1
countrylanguage,LTU,Ukrainian,F,1.1
countrylanguage,LUX,French,T,4.2
countrylanguage,LUX,German,T,2.3
countrylanguage,LUX,Italian,F,4.6
countrylanguage,LUX,Luxembourgish,T,64.4
countrylanguage,LUX,Portuguese,F,13.0
countrylanguage,LVA,Belorussian,F,4.1
countrylanguage,LVA,Latvian,T,55.1
countrylanguage,LVA,Lithuanian,F,1.2
countrylanguage,LVA,Polish,F,2.1
countrylanguage,LVA,Russian,F,32.5
countrylanguage,LVA,Ukrainian,F,2.9
countrylanguage,MAC,Canton Chinese,F,85.6
countrylanguage,MAC,English,F,0.5
countrylanguage,MAC,Mandarin Chinese,F,1.2
countrylanguage,MAC,Portuguese,T,2.3
countrylanguage,MAR,Arabic,T,65.0
countrylanguage,MAR,Berberi,F,33.0
countrylanguage,MCO,English,F,6.5
countrylanguage,MCO,French,T,41.9
countrylanguage,MCO,Italian,F,16.1
countrylanguage,MCO,Monegasque,F,16.1
countrylanguage,MDA,Bulgariana,F,1.6
countrylanguage,MDA,Gagauzi,F,3.2
countrylanguage,MDA,Romanian,T,61.9
countrylanguage,MDA,Russian,F,23.2
countrylanguage,MDA,Ukrainian,F,8.6
countrylanguage,MDG,French,T,0.0
countrylanguage,MDG,Malagasy,T,98.9
countrylanguage,MDV,Dhivehi,T,100.0
countrylanguage,MDV,English,F,0.0
countrylanguage,MEX,Mixtec,F,0.6
countrylanguage,MEX,Náhuatl,F,1.8
countrylanguage,MEX,Otomí,F,0.4
countrylanguage,MEX,Spanish,T,92.1
countrylanguage,MEX,Yucatec,F,1.1
countrylanguage,MEX,Zapotec,F,0.6
countrylanguage,MHL,English,T,0.0
countrylanguage,MHL,Marshallese,T,96.8
countrylanguage,MKD,Albaniana,F,22.9
countrylanguage,MKD,Macedonian,T,66.5
countrylanguage,MKD,Romani,F,2.3
countrylanguage,MKD,Serbo-Croatian,F,2.0
countrylanguage,MKD,Turkish,F,4.0
countrylanguage,MLI,Bambara,F,31.8
countrylanguage,MLI,Ful,F,13.9
countrylanguage,MLI,Senufo and Minianka,F,12.0
countrylanguage,MLI,Songhai,F,6.9
countrylanguage,MLI,Soninke,F,8.7
countrylanguage,MLI,Tamashek,F,7.3
countrylanguage,MLT,English,T,2.1
countrylanguage,MLT,Maltese,T,95.8
countrylanguage,MMR,Burmese,T,69.0
countrylanguage,MMR,Chin,F,2.2
countrylanguage,MMR,Kachin,F,1.4
countrylanguage,MMR,Karen,F,6.2
countrylanguage,MMR,Kayah,F,0.4
countrylanguage,MMR,Mon,F,2.4
countrylanguage,MMR,Rakhine,F,4.5
countrylanguage,MMR,Shan,F,8.5
countrylanguage,MNG,Bajad,F,1.9
countrylanguage,MNG,Buryat,F,1.7
countrylanguage,MNG,Dariganga,F,1.4
countrylanguage,MNG,Dorbet,F,2.7
countrylanguage,MNG,Kazakh,F,5.9
countrylanguage,MNG,Mongolian,T,78.8
countrylanguage,MNP,Carolinian,F,4.8
countrylanguage,MNP,Chamorro,F,30.0
countrylanguage,MNP,Chinese,F,7.1
countrylanguage,MNP,English,T,4.8
countrylanguage,MNP,Korean,F,6.5
countrylanguage,MNP,Philippene Languages,F,34.1
countrylanguage,MOZ,Chuabo,F,5.7
countrylanguage,MOZ,Lomwe,F,7.8
countrylanguage,MOZ,Makua,F,27.8
countrylanguage,MOZ,Marendje,F,3.5
countrylanguage,MOZ,Nyanja,F,3.3
countrylanguage,MOZ,Ronga,F,3.7
countrylanguage,MOZ,Sena,F,9.4
countrylanguage,MOZ,Shona,F,6.5
countrylanguage,MOZ,Tsonga,F,12.4
countrylanguage,MOZ,Tswa,F,6.0
countrylanguage,MRT,Ful,F,1.2
countrylanguage,MRT,Hassaniya,F,81.7
countrylanguage,MRT,Soninke,F,2.7
countrylanguage,MRT,Tukulor,F,5.4
countrylanguage,MRT,Wolof,F,6.6
countrylanguage,MRT,Zenaga,F,1.2
countrylanguage,MSR,English,T,0.0
countrylanguage,MTQ,Creole French,F,96.6
countrylanguage,MTQ,French,T,0.0
countrylanguage,MUS,Bhojpuri,F,21.1
countrylanguage,MUS,Creole French,F,70.6
countrylanguage,MUS,French,F,3.4
countrylanguage,MUS,Hindi,F,1.2
countrylanguage,MUS,Marathi,F,0.7
countrylanguage,MUS,Tamil,F,0.8
countrylanguage,MWI,Chichewa,T,58.3
countrylanguage,MWI,Lomwe,F,18.4
countrylanguage,MWI,Ngoni,F,6.7
countrylanguage,MWI,Yao,F,13.2
countrylanguage,MYS,Chinese,F,9.0
countrylanguage,MYS,Dusun,F,1.1
countrylanguage,MYS,English,F,1.6
countrylanguage,MYS,Iban,F,2.8
countrylanguage,MYS,Malay,T,58.4
countrylanguage,MYS,Tamil,F,3.9
countrylanguage,MYT,French,T,20.3
countrylanguage,MYT,Mahoré,F,41.9
countrylanguage,MYT,Malagasy,F,16.1
countrylanguage,NAM,Afrikaans,F,9.5
countrylanguage,NAM,Caprivi,F,4.7
countrylanguage,NAM,German,F,0.9
countrylanguage,NAM,Herero,F,8.0
countrylanguage,NAM,Kavango,F,9.7
countrylanguage,NAM,Nama,F,12.4
countrylanguage,NAM,Ovambo,F,50.7
countrylanguage,NAM,San,F,1.9
countrylanguage,NCL,French,T,34.3
countrylanguage,NCL,Malenasian Languages,F,45.4
countrylanguage,NCL,Polynesian Languages,F,11.6
countrylanguage,NER,Ful,F,9.7
countrylanguage,NER,Hausa,F,53.1
countrylanguage,NER,Kanuri,F,4.4
countrylanguage,NER,Songhai-zerma,F,21.2
countrylanguage,NER,Tamashek,F,10.4
countrylanguage,NFK,English,T,0.0
countrylanguage,NGA,Bura,F,1.6
countrylanguage,NGA,Edo,F,3.3
countrylanguage,NGA,Ful,F,11.3
countrylanguage,NGA,Hausa,F,21.1
countrylanguage,NGA,Ibibio,F,5.6
countrylanguage,NGA,Ibo,F,18.1
countrylanguage,NGA,Ijo,F,1.8
countrylanguage,NGA,Joruba,F,21.4
countrylanguage,NGA,Kanuri,F,4.1
countrylanguage,NGA,Tiv,F,2.3
countrylanguage,NIC,Creole English,F,0.5
countrylanguage,NIC,Miskito,F,1.6
countrylanguage,NIC,Spanish,T,97.6
countrylanguage,NIC,Sumo,F,0.2
countrylanguage,NIU,English,T,0.0
countrylanguage,NIU,Niue,F,0.0
countrylanguage,NLD,Arabic,F,0.9
countrylanguage,NLD,Dutch,T,95.6
countrylanguage,NLD,Fries,F,3.7
countrylanguage,NLD,Turkish,F,0.8
countrylanguage,NOR,Danish,F,0.4
countrylanguage,NOR,English,F,0.5
countrylanguage,NOR,Norwegian,T,96.6
countrylanguage,NOR,Saame,F,0.0
countrylanguage,NOR,Swedish,F,0.3
countrylanguage,NPL,Bhojpuri,F,7.5
countrylanguage,NPL,Hindi,F,3.0
countrylanguage,NPL,Maithili,F,11.9
countrylanguage,NPL,Nepali,T,50.4
countrylanguage,NPL,Newari,F,3.7
countrylanguage,NPL,Tamang,F,4.9
countrylanguage,NPL,Tharu,F,5.4
countrylanguage,NRU,Chinese,F,8.5
countrylanguage,NRU,English,T,7.5
countrylanguage,NRU,Kiribati,F,17.9
countrylanguage,NRU,Nauru,T,57.5
countrylanguage,NRU,Tuvalu,F,8.5
countrylanguage,NZL,English,T,87.0
countrylanguage,NZL,Maori,F,4.3
countrylanguage,OMN,Arabic,T,76.7
countrylanguage,OMN,Balochi,F,0.0
countrylanguage,PAK,Balochi,F,3.0
countrylanguage,PAK,Brahui,F,1.2
countrylanguage,PAK,Hindko,F,2.4
countrylanguage,PAK,Pashto,F,13.1
countrylanguage,PAK,Punjabi,F,48.2
countrylanguage,PAK,Saraiki,F,9.8
countrylanguage,PAK,Sindhi,F,11.8
countrylanguage,PAK,Urdu,T,7.6
countrylanguage,PAN,Arabic,F,0.6
countrylanguage,PAN,Creole English,F,14.0
countrylanguage,PAN,Cuna,F,2.0
countrylanguage,PAN,Embera,F,0.6
countrylanguage,PAN,Guaymí,F,5.3
countrylanguage,PAN,Spanish,T,76.8
countrylanguage,PCN,Pitcairnese,F,0.0
countrylanguage,PER,Aimará,T,2.3
countrylanguage,PER,Ketšua,T,16.4
countrylanguage,PER,Spanish,T,79.8
countrylanguage,PHL,Bicol,F,5.7
countrylanguage,PHL,Cebuano,F,23.3
countrylanguage,PHL,Hiligaynon,F,9.1
countrylanguage,PHL,Ilocano,F,9.3
countrylanguage,PHL,Maguindanao,F,1.4
countrylanguage,PHL,Maranao,F,1.3
countrylanguage,PHL,Pampango,F,3.0
countrylanguage,PHL,Pangasinan,F,1.8
countrylanguage,PHL,Pilipino,T,29.3
countrylanguage,PHL,Waray-waray,F,3.8
countrylanguage,PLW,Chinese,F,1.6
countrylanguage,PLW,English,T,3.2
countrylanguage,PLW,Palau,T,82.2
countrylanguage,PLW,Philippene Languages,F,9.2
countrylanguage,PNG,Malenasian Languages,F,20.0
countrylanguage,PNG,Papuan Languages,F,78.1
countrylanguage,POL,Belorussian,F,0.5
countrylanguage,POL,German,F,1.3
countrylanguage,POL,Polish,T,97.6
countrylanguage,POL,Ukrainian,F,0.6
countrylanguage,PRI,English,F,47.4
countrylanguage,PRI,Spanish,T,51.3
countrylanguage,PRK,Chinese,F,0.1
countrylanguage,PRK,Korean,T,99.9
countrylanguage,PRT,Portuguese,T,99.0
countrylanguage,PRY,German,F,0.9
countrylanguage,PRY,Guaraní,T,40.1
countrylanguage,PRY,Portuguese,F,3.2
countrylanguage,PRY,Spanish,T,55.1
countrylanguage,PSE,Arabic,F,95.9
countrylanguage,PSE,Hebrew,F,4.1
countrylanguage,PYF,Chinese,F,2.9
countrylanguage,PYF,French,T,40.8
countrylanguage,PYF,Tahitian,F,46.4
countrylanguage,QAT,Arabic,T,40.7
countrylanguage,QAT,Urdu,F,0.0
countrylanguage,REU,Chinese,F,2.8
countrylanguage,REU,Comorian,F,2.8
countrylanguage,REU,Creole French,F,91.5
countrylanguage,REU,Malagasy,F,1.4
countrylanguage,REU,Tamil,F,0.0
countrylanguage,ROM,German,F,0.4
countrylanguage,ROM,Hungarian,F,7.2
countrylanguage,ROM,Romani,T,0.7
countrylanguage,ROM,Romanian,T,90.7
countrylanguage,ROM,Serbo-Croatian,F,0.1
countrylanguage,ROM,Ukrainian,F,0.3
countrylanguage,RUS,Avarian,F,0.4
countrylanguage,RUS,Bashkir,F,0.7
countrylanguage,RUS,Belorussian,F,0.3
countrylanguage,RUS,Chechen,F,0.6
countrylanguage,RUS,Chuvash,F,0.9
countrylanguage,RUS,Kazakh,F,0.4
countrylanguage,RUS,Mari,F,0.4
countrylanguage,RUS,Mordva,F,0.5
countrylanguage,RUS,Russian,T,86.6
countrylanguage,RUS,Tatar,F,3.2
countrylanguage,RUS,Udmur,F,0.3
countrylanguage,RUS,Ukrainian,F,1.3
countrylanguage,RWA,French,T,0.0
countrylanguage,RWA,Rwanda,T,100.0
countrylanguage,SAU,Arabic,T,95.0
countrylanguage,SDN,Arabic,T,49.4
countrylanguage,SDN,Bari,F,2.5
countrylanguage,SDN,Beja,F,6.4
countrylanguage,SDN,Chilluk,F,1.7
countrylanguage,SDN,Dinka,F,11.5
countrylanguage,SDN,Fur,F,2.1
countrylanguage,SDN,Lotuko,F,1.5
countrylanguage,SDN,Nubian Languages,F,8.1
countrylanguage,SDN,Nuer,F,4.9
countrylanguage,SDN,Zande,F,2.7
countrylanguage,SEN,Diola,F,5.0
countrylanguage,SEN,Ful,F,21.7
countrylanguage,SEN,Malinke,F,3.8
countrylanguage,SEN,Serer,F,12.5
countrylanguage,SEN,Soninke,F,1.3
countrylanguage,SEN,Wolof,T,48.1
countrylanguage,SGP,Chinese,T,77.1
countrylanguage,SGP,Malay,T,14.1
countrylanguage,SGP,Tamil,T,7.4
countrylanguage,SHN,English,T,0.0
countrylanguage,SJM,Norwegian,T,0.0
countrylanguage,SJM,Russian,F,0.0
countrylanguage,SLB,Malenasian Languages,F,85.6
countrylanguage,SLB,Papuan Languages,F,8.6
countrylanguage,SLB,Polynesian Languages,F,3.8
countrylanguage,SLE,Bullom-sherbro,F,3.8
countrylanguage,SLE,Ful,F,3.8
countrylanguage,SLE,Kono-vai,F,5.1
countrylanguage,SLE,Kuranko,F,3.4
countrylanguage,SLE,Limba,F,8.3
countrylanguage,SLE,Mende,F,34.8
countrylanguage,SLE,Temne,F,31.8
countrylanguage,SLE,Yalunka,F,3.4
countrylanguage,SLV,Nahua,F,0.0
countrylanguage,SLV,Spanish,T,100.0
countrylanguage,SMR,Italian,T,100.0
countrylanguage,SOM,Arabic,T,0.0
countrylanguage,SOM,Somali,T,98.3
countrylanguage,SPM,French,T,0.0
countrylanguage,STP,Crioulo,F,86.3
countrylanguage,STP,French,F,0.7
countrylanguage,SUR,Hindi,F,0.0
countrylanguage,SUR,Sranantonga,F,81.0
countrylanguage,SVK,Czech and Moravian,F,1.1
countrylanguage,SVK,Hungarian,F,10.5
countrylanguage,SVK,Romani,F,1.7
countrylanguage,SVK,Slovak,T,85.6
countrylanguage,SVK,Ukrainian and Russian,F,0.6
countrylanguage,SVN,Hungarian,F,0.5
countrylanguage,SVN,Serbo-Croatian,F,7.9
countrylanguage,SVN,Slovene,T,87.9
countrylanguage,SWE,Arabic,F,0.8
countrylanguage,SWE,Finnish,F,2.4
countrylanguage,SWE,Norwegian,F,0.5
countrylanguage,SWE,Southern Slavic Languages,F,1.3
countrylanguage,SWE,Spanish,F,0.6
countrylanguage,SWE,Swedish,T,89.5
countrylanguage,SWZ,Swazi,T,89.9
countrylanguage,SWZ,Zulu,F,2.0
countrylanguage,SYC,English,T,3.8
countrylanguage,SYC,French,T,1.3
countrylanguage,SYC,Seselwa,F,91.3
countrylanguage,SYR,Arabic,T,90.0
countrylanguage,SYR,Kurdish,F,9.0
countrylanguage,TCA,English,T,0.0
countrylanguage,TCD,Arabic,T,12.3
countrylanguage,TCD,Gorane,F,6.2
countrylanguage,TCD,Hadjarai,F,6.7
countrylanguage,TCD,Kanem-bornu,F,9.0
countrylanguage,TCD,Mayo-kebbi,F,11.5
countrylanguage,TCD,Ouaddai,F,8.7
countrylanguage,TCD,Sara,F,27.7
countrylanguage,TCD,Tandjile,F,6.5
countrylanguage,TGO,Ane,F,5.7
countrylanguage,TGO,Ewe,T,23.2
countrylanguage,TGO,Gurma,F,3.4
countrylanguage,TGO,Kabyé,T,13.8
countrylanguage,TGO,Kotokoli,F,5.7
countrylanguage,TGO,Moba,F,5.4
countrylanguage,TGO,Naudemba,F,4.1
countrylanguage,TGO,Watyi,F,10.3
countrylanguage,THA,Chinese,F,12.1
countrylanguage,THA,Khmer,F,1.3
countrylanguage,THA,Kuy,F,1.1
countrylanguage,THA,Lao,F,26.9
countrylanguage,THA,Malay,F,3.6
countrylanguage,THA,Thai,T,52.6
countrylanguage,TJK,Russian,F,9.7
countrylanguage,TJK,Tadzhik,T,62.2
countrylanguage,TJK,Uzbek,F,23.2
countrylanguage,TKL,English,T,0.0
countrylanguage,TKL,Tokelau,F,0.0
countrylanguage,TKM,Kazakh,F,2.0
countrylanguage,TKM,Russian,F,6.7
countrylanguage,TKM,Turkmenian,T,76.7
countrylanguage,TKM,Uzbek,F,9.2
countrylanguage,TMP,Portuguese,T,0.0
countrylanguage,TMP,Sunda,F,0.0
countrylanguage,TON,English,T,0.0
countrylanguage,TON,Tongan,T,98.3
countrylanguage,TTO,Creole English,F,2.9
countrylanguage,TTO,English,F,93.5
countrylanguage,TTO,Hindi,F,3.4
countrylanguage,TUN,Arabic,T,69.9
countrylanguage,TUN,Arabic-French,F,26.3
countrylanguage,TUN,Arabic-French-English,F,3.2
countrylanguage,TUR,Arabic,F,1.4
countrylanguage,TUR,Kurdish,F,10.6
countrylanguage,TUR,Turkish,T,87.6
countrylanguage,TUV,English,T,0.0
countrylanguage,TUV,Kiribati,F,7.5
countrylanguage,TUV,Tuvalu,T,92.5
countrylanguage,TWN,Ami,F,0.6
countrylanguage,TWN,Atayal,F,0.4
countrylanguage,TWN,Hakka,F,11.0
countrylanguage,TWN,Mandarin Chinese,T,20.1
countrylanguage,TWN,Min,F,66.7
countrylanguage,TWN,Paiwan,F,0.3
countrylanguage,TZA,Chaga and Pare,F,4.9
countrylanguage,TZA,Gogo,F,3.9
countrylanguage,TZA,Ha,F,3.5
countrylanguage,TZA,Haya,F,5.9
countrylanguage,TZA,Hehet,F,6.9
countrylanguage,TZA,Luguru,F,4.9
countrylanguage,TZA,Makonde,F,5.9
countrylanguage,TZA,Nyakusa,F,5.4
countrylanguage,TZA,Nyamwesi,F,21.1
countrylanguage,TZA,Shambala,F,4.3
countrylanguage,TZA,Swahili,T,8.8
countrylanguage,UGA,Acholi,F,4.4
countrylanguage,UGA,Ganda,F,18.1
countrylanguage,UGA,Gisu,F,4.5
countrylanguage,UGA,Kiga,F,8.3
countrylanguage,UGA,Lango,F,5.9
countrylanguage,UGA,Lugbara,F,4.7
countrylanguage,UGA,Nkole,F,10.7
countrylanguage,UGA,Rwanda,F,3.2
countrylanguage,UGA,Soga,F,8.2
countrylanguage,UGA,Teso,F,6.0
countrylanguage,UKR,Belorussian,F,0.3
countrylanguage,UKR,Bulgariana,F,0.3
countrylanguage,UKR,Hungarian,F,0.3
countrylanguage,UKR,Polish,F,0.1
countrylanguage,UKR,Romanian,F,0.7
countrylanguage,UKR,Russian,F,32.9
countrylanguage,UKR,Ukrainian,T,64.7
countrylanguage,UMI,English,T,0.0
countrylanguage,URY,Spanish,T,95.7
countrylanguage,USA,Chinese,F,0.6
countrylanguage,USA,English,T,86.2
countrylanguage,USA,French,F,0.7
countrylanguage,USA,German,F,0.7
countrylanguage,USA,Italian,F,0.6
countrylanguage,USA,Japanese,F,0.2
countrylanguage,USA,Korean,F,0.3
countrylanguage,USA,Polish,F,0.3
countrylanguage,USA,Portuguese,F,0.2
countrylanguage,USA,Spanish,F,7.5
countrylanguage,USA,Tagalog,F,0.4
countrylanguage,USA,Vietnamese,F,0.2
countrylanguage,UZB,Karakalpak,F,2.0
countrylanguage,UZB,Kazakh,F,3.8
countrylanguage,UZB,Russian,F,10.9
countrylanguage,UZB,Tadzhik,F,4.4
countrylanguage,UZB,Tatar,F,1.8
countrylanguage,UZB,Uzbek,T,72.6
countrylanguage,VAT,Italian,T,0.0
countrylanguage,VCT,Creole English,F,99.1
countrylanguage,VCT,English,T,0.0
countrylanguage,VEN,Goajiro,F,0.4
countrylanguage,VEN,Spanish,T,96.9
countrylanguage,VEN,Warrau,F,0.1
countrylanguage,VGB,English,T,0.0
countrylanguage,VIR,English,T,81.7
countrylanguage,VIR,French,F,2.5
countrylanguage,VIR,Spanish,F,13.3
countrylanguage,VNM,Chinese,F,1.4
countrylanguage,VNM,Khmer,F,1.4
countrylanguage,VNM,Man,F,0.7
countrylanguage,VNM,Miao,F,0.9
countrylanguage,VNM,Muong,F,1.5
countrylanguage,VNM,Nung,F,1.1
countrylanguage,VNM,Thai,F,1.6
countrylanguage,VNM,Tho,F,1.8
countrylanguage,VNM,Vietnamese,T,86.8
countrylanguage,VUT,Bislama,T,56.6
countrylanguage,VUT,English,T,28.3
countrylanguage,VUT,French,T,14.2
countrylanguage,WLF,Futuna,F,0.0
countrylanguage,WLF,Wallis,F,0.0
countrylanguage,WSM,English,T,0.6
countrylanguage,WSM,Samoan,T,47.5
countrylanguage,WSM,Samoan-English,F,52.0
countrylanguage,YEM,Arabic,T,99.6
countrylanguage,YEM,Soqutri,F,0.0
countrylanguage,YUG,Albaniana,F,16.5
countrylanguage,YUG,Hungarian,F,3.4
countrylanguage,YUG,Macedonian,F,0.5
countrylanguage,YUG,Romani,F,1.4
countrylanguage,YUG,Serbo-Croatian,T,75.2
countrylanguage,YUG,Slovak,F,0.7
countrylanguage,ZAF,Afrikaans,T,14.3
countrylanguage,ZAF,English,T,8.5
countrylanguage,ZAF,Ndebele,F,1.5
countrylanguage,ZAF,Northsotho,F,9.1
countrylanguage,ZAF,Southsotho,F,7.6
countrylanguage,ZAF,Swazi,F,2.5
countrylanguage,ZAF,Tsonga,F,4.3
countrylanguage,ZAF,Tswana,F,8.1
countrylanguage,ZAF,Venda,F,2.2
countrylanguage,ZAF,Xhosa,T,17.7
countrylanguage,ZAF,Zulu,T,22.7
countrylanguage,ZMB,Bemba,F,29.7
countrylanguage,ZMB,Chewa,F,5.7
countrylanguage,ZMB,Lozi,F,6.4
countrylanguage,ZMB,Nsenga,F,4.3
countrylanguage,ZMB,Nyanja,F,7.8
countrylanguage,ZMB,Tongan,F,11.0
countrylanguage,ZWE,English,T,2.2
countrylanguage,ZWE,Ndebele,F,16.2
countrylanguage,ZWE,Nyanja,F,2.2
countrylanguage,ZWE,Shona,F,72.1
